ID,Date,Home,Away,Home,Away
1,2023-11-06,A3,A2,350,504
2,2023-11-06,B2,A4,568,211
3,2023-11-06,E3,E2,315,525
4,2023-11-06,C4,C2,518,-61
5,2023-11-06,C5,C1,527,352
6,2023-11-06,B4,B1,559,123
7,2023-11-07,E4,D1,1,0
8,2023-11-07,D4,D2,74,507
9,2023-11-07,D3,E1,478,505
10,2023-11-07,F3,F4,264,511
11,2023-11-07,C3,B3,422,505
12,2023-11-07,A4,A2,0,1
13,2023-11-07,A1,A5,537,322
14,2023-11-07,C5,C4,137,546
15,2023-11-08,D1,F2,0,1
16,2023-11-08,F5,E2,478,518
17,2023-11-08,A3,A1,278,514
18,2023-11-08,A3,A1,278,514
19,2023-11-08,B5,B2,403,579
20,2023-11-08,E5,E4,0,1
21,2023-11-08,A5,B3,504,403
22,2023-11-08,E1,E3,588,-73
23,2023-11-08,B4,C3,519,378
24,2023-11-09,E5,F4,539,445
25,2023-11-09,D4,D3,404,514
26,2023-11-09,D2,D1,1,0
27,2023-11-09,A3,C2,505,331
28,2023-11-09,C1,A4,547,187
29,2023-11-09,B1,B5,444,539
30,2023-11-09,C4,A5,519,347
31,2023-11-09,F5,F1,519,196
32,2023-11-09,F3,F2,512,295
33,2023-11-13,E3,D4,36,595
34,2023-11-13,E3,D4,36,595
35,2023-11-13,D1,F2,0,1
36,2023-11-13,C3,B5,128,516
37,2023-11-13,F1,E1,0,1
38,2023-11-13,C4,B1,550,425
39,2023-11-13,F4,D5,537,496
40,2023-11-13,F3,F5,565,372
41,2023-11-14,B4,B3,356,508
42,2023-11-14,E2,C2,505,152
43,2023-11-14,A3,A4,539,358
44,2023-11-14,D3,D1,1,0
45,2023-11-14,C5,B2,504,249
46,2023-11-14,F1,A1,508,102
47,2023-11-14,D5,F5,254,557
48,2023-11-14,F2,E4,518,437
49,2023-11-14,A2,A1,505,221
50,2023-11-15,C3,C1,425,516
51,2023-11-15,A2,B4,-27,549
52,2023-11-15,A4,A3,-210,508
53,2023-11-15,D2,E2,537,264
54,2023-11-15,D3,F3,86,515
55,2023-11-15,E1,E4,528,191
56,2023-11-16,B3,A2,529,283
57,2023-11-16,E4,D2,431,605
58,2023-11-16,C1,B5,500,26
59,2023-11-16,B1,B2,507,508
60,2023-11-16,C2,C5,0,1
61,2023-11-16,F1,F3,519,344
62,2023-11-16,F1,F3,519,344
63,2023-11-16,D5,E5,0,1
64,2023-11-27,C5,A3,608,619
65,2023-11-27,A4,F4,41,522
66,2023-11-27,D1,B3,167,503
67,2023-11-27,F1,E4,232,506
68,2023-11-27,D5,D2,536,340
69,2023-11-27,B2,D3,388,539
70,2023-11-27,B5,A2,519,355
71,2023-11-28,B4,A1,183,508
72,2023-11-28,E1,D4,376,519
73,2023-11-28,C1,B2,532,294
74,2023-11-28,F2,A4,0,1
75,2023-11-28,B1,C3,362,526
76,2023-11-28,A2,C4,-84,679
77,2023-11-28,C2,A5,292,559
78,2023-11-28,D2,F3,266,504
79,2023-11-28,E2,E5,482,524
80,2023-11-28,E3,F5,66,548
81,2023-11-29,D4,D3,547,3
82,2023-11-29,A1,C2,503,100
83,2023-11-29,F1,A3,523,472
84,2023-11-29,D1,F4,559,162
85,2023-11-29,C1,A2,35,515
86,2023-11-29,B3,B1,508,420
87,2023-11-29,C3,C5,543,367
88,2023-11-29,E5,E1,458,534
89,2023-11-30,E5,E3,548,481
90,2023-11-30,E4,E2,531,440
91,2023-11-30,A5,A4,519,236
92,2023-11-30,C3,C4,508,151
93,2023-11-30,B5,B4,428,614
94,2023-11-30,D2,F4,523,354
95,2023-11-30,D1,F5,-38,513
96,2023-11-30,A1,A3,201,505
97,2023-11-30,B3,C2,1,0
