ID,Date,Home,Away,Home,Away,Home,Away,Hands
315,2024-02-01,B4,A2,101,505,11,15,12
316,2024-02-01,E3,F2,0,0,0,0,0
317,2024-02-01,B3,A3,270,504,10,14,12
318,2024-02-01,A5,C5,507,398,7,8,8
319,2024-02-01,F4,A1,309,506,19,16,14
320,2024-02-01,E2,D5,1,0,0,0,0
321,2024-02-05,B4,B5,417,515,7,5,8
322,2024-02-05,F1,F3,0,1,0,0,0
323,2024-02-05,F2,F3,0,1,0,0,0
324,2024-02-05,B1,C1,217,544,7,14,10
325,2024-02-05,D2,B2,352,529,12,9,11
326,2024-02-05,C3,A4,1,0,0,0,0
327,2024-02-05,C4,C2,1,0,0,0,0
328,2024-02-05,E2,F4,515,-214,15,6,11
329,2024-02-05,A1,A2,508,186,8,6,6
330,2024-02-06,F5,E1,348,547,8,7,9
331,2024-02-06,A1,F2,1,0,0,0,0
332,2024-02-06,F1,F4,0,1,0,0,0
333,2024-02-06,D5,B3,0,1,0,0,0
334,2024-02-06,B5,D1,1,0,0,0,0
335,2024-02-07,E1,E5,246,515,6,5,8
336,2024-02-07,C5,C2,1,0,0,0,0
337,2024-02-07,C1,B4,568,-782,28,18,17
338,2024-02-07,B1,D2,190,556,10,6,9
339,2024-02-07,A3,B5,634,534,14,14,12
340,2024-02-07,D5,F3,0,1,0,0,0
341,2024-02-08,E1,C1,229,525,9,5,9
342,2024-02-08,F1,E3,0,0,0,0,0
343,2024-02-08,C4,A4,1,0,0,0,0
344,2024-02-08,E4,D3,507,453,7,13,7
345,2024-02-08,F5,D2,599,107,9,7,9
346,2024-02-08,D4,E5,648,499,8,9,10
347,2024-02-08,A5,C3,1,0,0,0,0
348,2024-02-12,A4,A5,0,1,0,0,0
349,2024-02-12,E3,F3,0,1,0,0,0
350,2024-02-12,F4,D2,504,351,4,11,11
351,2024-02-12,B5,A2,502,211,12,11,11
352,2024-02-12,F5,E5,338,516,8,6,8
353,2024-02-12,E2,C3,503,-220,13,10,11
354,2024-02-12,B4,B2,528,328,8,8,8
355,2024-02-12,A3,A5,533,173,3,3,4
356,2024-02-13,E3,F4,0,1,0,0,0
357,2024-02-14,D1,E1,0,1,0,0,0
358,2024-02-14,C2,C1,0,1,0,0,0
359,2024-02-14,F5,E4,497,513,7,3,8
360,2024-02-14,F4,A2,19,527,9,7,12
361,2024-02-14,A1,B3,538,356,18,6,11
362,2024-02-14,B2,B5,508,330,8,10,9
363,2024-02-15,A4,F5,0,1,0,0,0
364,2024-02-15,E5,E3,1,0,0,0,0
365,2024-02-15,D4,E1,567,377,17,7,12
366,2024-02-15,A2,B1,489,519,9,9,9
367,2024-02-15,A1,B5,509,315,9,5,7
368,2024-02-15,C3,A3,656,376,16,6,12
369,2024-02-15,B4,C4,511,137,11,7,8
370,2024-02-15,B2,C5,430,539,10,9,8
371,2024-02-19,A1,A4,1,0,0,0,0
372,2024-02-19,D1,D3,0,1,0,0,0
373,2024-02-19,C2,C3,0,1,0,0,0
374,2024-02-19,B3,B4,137,505,7,5,8
375,2024-02-19,E1,E2,399,502,9,12,11
376,2024-02-20,C1,E3,1,0,0,0,0
377,2024-02-20,C4,C5,219,512,9,12,10
378,2024-02-20,D3,D4,503,-124,13,6,11
379,2024-02-20,A2,C3,522,228,12,8,10
380,2024-02-21,F1,D1,0,0,0,0,0
381,2024-02-21,D5,F4,0,1,0,0,0
382,2024-02-21,E5,F2,1,0,0,0,0
383,2024-02-21,C5,A5,530,-89,10,11,11
384,2024-02-21,A2,A1,513,299,13,9,13
385,2024-02-21,B2,C4,420,553,10,13,10
386,2024-02-21,B3,D4,171,602,11,22,16
387,2024-02-21,E5,C1,346,507,6,7,8
388,2024-02-22,F3,F1,1,0,0,0,0
389,2024-02-22,B5,A4,1,0,0,0,0
390,2024-02-22,D5,E1,0,1,0,0,0
391,2024-02-22,E4,E3,1,0,0,0,0
392,2024-02-22,B4,A5,505,40,5,0,7
393,2024-02-22,B3,B2,140,599,10,9,11
394,2024-02-22,F4,D4,156,515,6,15,10
395,2024-02-22,E2,F5,548,419,8,9,10
396,2024-02-26,A4,A3,0,1,0,0,0
397,2024-02-26,F3,F2,1,0,0,0,0
398,2024-02-26,C4,E3,1,0,0,0,0
399,2024-02-26,A1,B4,509,430,9,10,11
400,2024-02-26,D2,D3,591,409,11,9,7
401,2024-02-26,C3,C4,539,253,9,3,8
402,2024-02-26,A2,F5,519,426,9,6,9
403,2024-02-27,D4,E3,1,0,0,0,0
404,2024-02-27,A2,A4,1,0,0,0,0
405,2024-02-27,C4,F1,1,0,0,0,0
406,2024-02-27,E4,C2,1,0,0,0,0
407,2024-02-27,B2,C1,397,568,17,18,13
408,2024-02-27,C3,E1,179,507,9,17,12
409,2024-02-27,F3,C4,-169,539,11,9,9
410,2024-02-27,B4,B1,525,457,5,7,8
411,2024-02-27,B3,B5,-55,538,5,8,8
412,2024-02-28,D1,D5,0,0,0,0,0
413,2024-02-28,B2,C2,1,0,0,0,0
414,2024-02-28,A5,A2,312,500,12,10,11
415,2024-02-28,F4,F5,503,506,13,16,18
416,2024-02-28,B1,A1,445,539,15,9,10
417,2024-02-28,C5,C1,476,529,6,9,7
418,2024-02-29,D3,D5,1,0,0,0,0
419,2024-02-29,F3,A4,1,0,0,0,0
420,2024-02-29,E1,F4,527,-186,7,4,8
421,2024-02-29,F5,D4,456,520,6,10,10
422,2024-02-29,C3,A5,46,534,6,4,7
423,2024-02-29,C4,C1,537,442,7,12,8
424,2024-02-29,E4,C5,410,504,10,14,11
