Team Name,Division,Conference,Div,Wins,Loss,Percent,Avg Margin,SOS,SOV,Total Score,Opp Score,Margin,Home Wins,Home Loss,Away Wins,Away Loss,Div Wins,Div Loss,Conf Wins,Conf Loss,Played Wins,Played Loss,Forf Wins,Forf Loss,Dbl Forf,Draw
2k9 Boyz,Aftermath,US,AM,4,3,0.571,26.4,0.5,0.462,2586,2401,185,2,1,2,2,2,2,4,2,4,3,0,0,0,0
Glory Carriers,Aftermath,US,AM,4,4,0.5,-118.7,0.674,0.619,2051,2882,-831,1,2,3,2,3,0,4,4,3,4,1,0,0,0
JQ Suited,Aftermath,US,AM,5,3,0.625,118.4,0.351,0.25,3776,2829,947,2,2,3,1,3,2,5,2,5,3,0,0,0,0
Mad Setters,Aftermath,US,AM,1,7,0.125,-396.7,0.59,0.0,823,3203,-2380,0,3,1,4,0,4,0,6,0,6,1,1,0,0
PG2020,Aftermath,US,AM,3,2,0.6,52.8,0.457,0.318,2251,1987,264,2,0,1,2,1,1,3,2,3,2,0,0,0,0
Double Ds,Ruff Ryders,US,RR,0,6,0.0,-151.5,0.632,0.0,2281,3190,-909,0,3,0,3,0,4,0,6,0,6,0,0,0,0
Gotham Knights,Ruff Ryders,US,RR,3,3,0.5,-18.3,0.368,0.2,2586,2696,-110,1,1,2,2,2,0,3,2,3,3,0,0,0,0
Jerzeys Finest,Ruff Ryders,US,RR,6,1,0.857,134.0,0.375,0.343,2956,2152,804,3,0,3,1,2,0,5,1,5,1,1,0,0,0
Knuck If You Stuck,Ruff Ryders,US,RR,4,2,0.667,143.7,0.488,0.37,2780,1918,862,2,2,2,0,2,1,4,2,4,2,0,0,0,0
Miller Time,Ruff Ryders,US,RR,3,3,0.5,-31.5,0.462,0.333,2431,2620,-189,1,2,2,1,1,2,3,3,3,3,0,0,0,0
Chaos Control,State Property,US,SP,4,2,0.667,84.7,0.415,0.37,2482,1974,508,3,1,1,1,1,1,4,2,4,2,0,0,0,0
House of Minicks,State Property,US,SP,0,7,0.0,-355.2,0.625,0.0,814,2590,-1776,0,2,0,5,0,2,0,6,0,5,0,2,0,0
PGs Finest,State Property,US,SP,3,4,0.429,-0.9,0.581,0.444,2930,2936,-6,2,3,1,1,2,1,3,4,3,4,0,0,0,0
TC Tricksters,State Property,US,SP,5,1,0.833,281.8,0.333,0.313,2963,1272,1691,3,0,2,1,2,1,5,1,5,1,0,0,0,0
Team Bui,State Property,US,SP,3,3,0.5,-33.2,0.606,0.583,2143,2309,-166,2,2,1,1,2,2,3,3,2,3,1,0,0,0
Call A Spade A Spade,Death Row,THEM,DR,1,7,0.125,-163.3,0.684,0.5,688,1178,-490,1,4,0,3,0,2,1,6,1,2,0,5,0,0
Kimasha,Death Row,THEM,DR,5,2,0.714,102.5,0.529,0.542,2778,2163,615,3,1,2,1,2,1,5,2,4,2,1,0,0,0
Star Studded,Death Row,THEM,DR,3,3,0.5,-147.8,0.643,0.545,1620,2359,-739,1,2,2,1,2,1,2,3,2,3,1,0,0,0
That Couple,Death Row,THEM,DR,3,2,0.6,140.6,0.533,0.471,2139,1436,703,1,2,2,0,1,2,3,2,3,2,0,0,0,0
StickemUp,Death Row,THEM,DR,1,3,0.25,-49.3,0.632,0.714,1286,1434,-148,1,2,0,1,1,0,1,3,1,2,0,1,0,0
M2S,No Limit,THEM,NL,5,1,0.833,191.6,0.483,0.458,2531,1573,958,2,1,3,0,3,0,5,1,4,1,1,0,0,0
Team Marfo,No Limit,THEM,NL,3,3,0.5,32.8,0.447,0.222,2734,2537,197,1,1,2,2,1,2,2,3,3,3,0,0,0,0
Cutting Cuzzins,No Limit,THEM,NL,0,5,0.0,-395.8,0.655,0.0,825,2804,-1979,0,3,0,2,0,3,0,5,0,5,0,0,0,0
Toshiba Auggie,No Limit,THEM,NL,4,3,0.571,-45.4,0.633,0.5,2096,2323,-227,2,1,2,2,2,1,4,3,2,3,2,0,0,0
Us,No Limit,THEM,NL,4,2,0.667,31.8,0.478,0.353,2069,1942,127,2,2,2,0,2,2,4,2,3,1,1,1,0,0
Brick City,Roc-A-Fella,THEM,RF,3,3,0.5,7.0,0.618,0.619,1978,1943,35,3,2,0,1,1,1,1,3,3,2,0,1,0,0
Croatias Best,Roc-A-Fella,THEM,RF,3,2,0.6,-68.0,0.615,0.571,813,949,-136,1,1,2,1,0,1,3,1,1,1,2,1,0,0
Gerow Animals,Roc-A-Fella,THEM,RF,4,2,0.667,109.2,0.583,0.625,2704,2049,655,2,1,2,1,2,2,4,2,4,2,0,0,0,0
Takers,Roc-A-Fella,THEM,RF,3,3,0.5,18.2,0.41,0.333,2531,2422,109,1,0,2,3,1,0,2,3,3,3,0,0,0,0
Dubs,Roc-A-Fella,THEM,RF,4,2,0.667,237.7,0.343,0.217,2987,1561,1426,1,1,3,1,1,1,4,2,4,2,0,0,0,0
